nick;time_caching;caches_owned;premium_mem;my_caches_found;lab_caches;ftf;ftf_count;travelbugs;security_cam
ForestReviewer;Do 2 rokov;Menej ako 5 kešiek;Áno;Nie;Nie;Nie;0 - 5;Nie;Nie
;5 - 10 rokov;5 - 20 kešiek;Áno;Áno;Áno;Áno;101 a viac;Nie;Áno
Miskakero ;5 - 10 rokov;51 - 100 kešiek;Áno;Áno;Áno;Áno;51 - 100;Áno;Áno
Marška;5 - 10 rokov;51 - 100 kešiek;Áno;Áno;Nie;Áno;101 a viac;Áno;Áno
dankogamer;5 - 10 rokov;5 - 20 kešiek;Áno;Áno;Áno;Áno;21 - 50;Áno;Áno
kovbojkáči;5 - 10 rokov;5 - 20 kešiek;Áno;Áno;Áno;Nie;21 - 50;Nie;Áno
billesik;Viac ako 10 rokov;21 - 50 kešiek;Áno;Áno;Áno;Áno;51 - 100;Áno;Áno
Rovyz;Viac ako 10 rokov;Menej ako 5 kešiek;Áno;Áno;Áno;Áno;21 - 50;Nie;Áno
;Viac ako 10 rokov;Menej ako 5 kešiek;Áno;Áno;Áno;Áno;101 a viac;Nie;Áno
Astern333;2 - 5 rokov;5 - 20 kešiek;Áno;Áno;Áno;Áno;0 - 5;Áno;Nie
;Viac ako 10 rokov;21 - 50 kešiek;Áno;Áno;Áno;Nie;0 - 5;Áno;Áno
20fia & family;5 - 10 rokov;Menej ako 5 kešiek;Áno;Áno;Áno;Áno;101 a viac;Nie;Áno
Dalibor a Dominika;Viac ako 10 rokov;101 - 200 kešiek;Áno;Áno;Áno;Áno;51 - 100;Nie;Áno
Enspender;2 - 5 rokov;Menej ako 5 kešiek;Áno;Áno;Áno;Nie;0 - 5;Nie;Áno
Romanko909;Do 2 rokov;Menej ako 5 kešiek;Áno;Áno;Áno;Nie;0 - 5;Áno;Áno
Ogiko;2 - 5 rokov;Menej ako 5 kešiek;Áno;Áno;Áno;Áno;6 - 10;Áno;Áno
1reko2;2 - 5 rokov;5 - 20 kešiek;Nie;Áno;Áno;Áno;0 - 5;Áno;Nie
kurtica;Viac ako 10 rokov;Menej ako 5 kešiek;Áno;Áno;Áno;Áno;0 - 5;Áno;Áno
;Viac ako 10 rokov;Menej ako 5 kešiek;Áno;Áno;Áno;Nie;0 - 5;Nie;Áno
dullus;Viac ako 10 rokov;Viac ako 1000 kešiek;Áno;Áno;Áno;Nie;0 - 5;Áno;Áno
AnemariDano;2 - 5 rokov;Menej ako 5 kešiek;Áno;Áno;Áno;Nie;0 - 5;Áno;Nie
dspandy;2 - 5 rokov;Menej ako 5 kešiek;Áno;Áno;Áno;Áno;0 - 5;Nie;Áno
bolda;Viac ako 10 rokov;201 - 500 kešiek;Áno;Áno;Áno;Nie;101 a viac;Áno;Áno
Jeseň;Do 2 rokov;Menej ako 5 kešiek;Áno;Áno;Áno;Nie;0 - 5;Áno;Áno
;Viac ako 10 rokov;101 - 200 kešiek;Áno;Nie;Áno;Áno;101 a viac;Nie;Nie
lenmoja;Viac ako 10 rokov;5 - 20 kešiek;Áno;Áno;Áno;Áno;101 a viac;Áno;Áno
;5 - 10 rokov;Menej ako 5 kešiek;Áno;Áno;Nie;Nie;0 - 5;Nie;Áno
erik.grave1;2 - 5 rokov;21 - 50 kešiek;Áno;Áno;Áno;Áno;0 - 5;Áno;Áno
;5 - 10 rokov;51 - 100 kešiek;Áno;Nie;Áno;Áno;51 - 100;Áno;Áno
Na zaklade odpovedí zistíš ;Viac ako 10 rokov;Menej ako 5 kešiek;Áno;Áno;Áno;Áno;101 a viac;Nie;Áno
tulavec;2 - 5 rokov;5 - 20 kešiek;Áno;Áno;Áno;Nie;0 - 5;Áno;Áno
baldicek;5 - 10 rokov;5 - 20 kešiek;Áno;Áno;Áno;Áno;51 - 100;Áno;Áno
rastislavius;Viac ako 10 rokov;5 - 20 kešiek;Áno;Áno;Áno;Nie;21 - 50;Áno;Áno
;5 - 10 rokov;Menej ako 5 kešiek;Áno;Áno;Áno;Áno;11 - 20;Áno;Áno
;Viac ako 10 rokov;21 - 50 kešiek;Áno;Áno;Áno;Nie;0 - 5;Áno;Áno
breny.al.fajed;Viac ako 10 rokov;Menej ako 5 kešiek;Áno;Áno;Áno;Áno;101 a viac;Nie;Áno
;Viac ako 10 rokov;Menej ako 5 kešiek;Áno;Áno;Áno;Áno;101 a viac;Áno;Áno
;5 - 10 rokov;21 - 50 kešiek;Áno;Áno;Áno;Áno;21 - 50;Áno;Áno
Lazarovci;Viac ako 10 rokov;Menej ako 5 kešiek;Áno;Áno;Áno;Nie;101 a viac;Áno;Áno
;Viac ako 10 rokov;Menej ako 5 kešiek;Áno;Áno;Áno;Nie;0 - 5;Nie;Áno
;Viac ako 10 rokov;Menej ako 5 kešiek;Áno;Áno;Áno;Nie;21 - 50;Nie;Nie
