nick;time_caching;caches_owned;premium_mem;my_caches_found;lab_caches;ftf;ftf_count;travelbugs;security_cam
ForestReviewer;Do 2 rokov;Menej ako 5 keäiek;çno;Nie;Nie;Nie;0 - 5;Nie;Nie
x;5 - 10 rokov;5 - 20 keäiek;çno;çno;çno;çno;101 a viac;Nie;çno
Miskakero ;5 - 10 rokov;51 - 100 keäiek;çno;çno;çno;çno;51 - 100;çno;çno
Maräka;5 - 10 rokov;51 - 100 keäiek;çno;çno;Nie;çno;101 a viac;çno;çno
dankogamer;5 - 10 rokov;5 - 20 keäiek;çno;çno;çno;çno;21 - 50;çno;çno
kovbojk‡‹i;5 - 10 rokov;5 - 20 keäiek;çno;çno;çno;Nie;21 - 50;Nie;çno
billesik;Viac ako 10 rokov;21 - 50 keäiek;çno;çno;çno;çno;51 - 100;çno;çno
Rovyz;Viac ako 10 rokov;Menej ako 5 keäiek;çno;çno;çno;çno;21 - 50;Nie;çno
x;Viac ako 10 rokov;Menej ako 5 keäiek;çno;çno;çno;çno;101 a viac;Nie;çno
Astern333;2 - 5 rokov;5 - 20 keäiek;çno;çno;çno;çno;0 - 5;çno;Nie
x;Viac ako 10 rokov;21 - 50 keäiek;çno;çno;çno;Nie;0 - 5;çno;çno
20fia & family;5 - 10 rokov;Menej ako 5 keäiek;çno;çno;çno;çno;101 a viac;Nie;çno
Dalibor a Dominika;Viac ako 10 rokov;101 - 200 keäiek;çno;çno;çno;çno;51 - 100;Nie;çno
Enspender;2 - 5 rokov;Menej ako 5 keäiek;çno;çno;çno;Nie;0 - 5;Nie;çno
Romanko909;Do 2 rokov;Menej ako 5 keäiek;çno;çno;çno;Nie;0 - 5;çno;çno
Ogiko;2 - 5 rokov;Menej ako 5 keäiek;çno;çno;çno;çno;6.okt;çno;çno
1reko2;2 - 5 rokov;5 - 20 keäiek;Nie;çno;çno;çno;0 - 5;çno;Nie
kurtica;Viac ako 10 rokov;Menej ako 5 keäiek;çno;çno;çno;çno;0 - 5;çno;çno
x;Viac ako 10 rokov;Menej ako 5 keäiek;çno;çno;çno;Nie;0 - 5;Nie;çno
dullus;Viac ako 10 rokov;Viac ako 1000 keäiek;çno;çno;çno;Nie;0 - 5;çno;çno
